,username,album,artist,date_posted,url
92,@marcos_p_130,"ROADRUNNER: NEW LIGHT, NEW MACHINE",BROCKHAMPTON,2021-07-06 08:21:19.729737,https://lastfm.freetls.fastly.net/i/u/100s/e2b336bc582d38c2d1db22060ded5d2f.jpg
93,"@xo.camillaa, @ehhhdgar, @leah_amezcua",EL ÚLTIMO TOUR DEL MUNDO,Bad Bunny,2021-07-06 08:21:38.122777,https://lastfm.freetls.fastly.net/i/u/100s/e951d07d801f9f43da95f3ec298b40ce.jpg
94,@duchesse.des.tubercules,"Parsley, Sage, Rosemary And Thyme",Simon & Garfunkel,2021-07-06 08:21:54.036907,https://lastfm.freetls.fastly.net/i/u/100s/eb65f2f2576afc5a82efc5d665e5c974.jpg
95,@stasiek.gratkowski,Playboi Carti,Playboi Carti,2021-07-06 08:22:09.228760,https://lastfm.freetls.fastly.net/i/u/100s/ef217b8ec30f02e4afc94b693fc75a27.jpg
96,@kutaysann,The Kids Are Alright,Chloe x Halle,2021-07-06 08:22:26.475434,https://lastfm.freetls.fastly.net/i/u/100s/f1e58f0c63a2c6aca991ac4bfaaa6d04.jpg
97,@beatriz.antunesss,Ram,Paul McCartney,2021-07-06 08:22:43.891541,https://lastfm.freetls.fastly.net/i/u/100s/f2e32b12541749d3907902de3c2438ba.jpg
98,@rainbow_blues_,evermore,Taylor Swift,2021-07-06 08:23:01.202486,https://lastfm.freetls.fastly.net/i/u/100s/f2f83759a50360ff954861c223a5e777.jpg
99,@cinnamongirl360,Zeros,Declan McKenna,2021-07-06 08:23:17.717222,https://lastfm.freetls.fastly.net/i/u/100s/f69bb3a00819b35659075120222b2f6f.jpg
100,@joakooop,Station to Station,David Bowie,2021-07-07 13:09:09.977174,https://lastfm.freetls.fastly.net/i/u/100s/015f92a8328a1371a1cfa0b83689fa5a.jpg
101,@jox._.nxlmxs,Glue,Boston Manor,2021-07-07 13:09:27.935157,https://lastfm.freetls.fastly.net/i/u/100s/029413afe7b6074e92fce43edd0d4f79.jpg
102,@minniesfuneral,We Are Not Your Kind,Slipknot,2021-07-07 13:09:46.857392,https://lastfm.freetls.fastly.net/i/u/100s/046de418bbfe55aec206596d48eb2526.jpg
103,@rileyc80,"You're a Man Now, Boy (Deluxe)",Raleigh Ritchie,2021-07-07 13:10:06.484000,https://lastfm.freetls.fastly.net/i/u/100s/04a472663b26b6f3ac26a822144f75a7.jpg
104,@hailey_allenn,7 Summers,Morgan Wallen,2021-07-07 13:10:25.212402,https://lastfm.freetls.fastly.net/i/u/100s/051960c4f9deb903a7eb6e699428ed24.jpg
105,@brixx.dumpling,Ancient Dreams in a Modern Land,Marina,2021-07-07 13:10:43.662729,https://lastfm.freetls.fastly.net/i/u/100s/06635a10c5eb7935d4b79d0aa3378484.jpg
106,@emma_chvllr,Pink Tape (Vol. 2),f(x),2021-07-07 13:11:03.972761,https://lastfm.freetls.fastly.net/i/u/100s/06976f1d75b5447dc439187ac194dbf3.jpg
107,@vxleriatt,Facelift,Alice in Chains,2021-07-07 13:11:23.527363,https://lastfm.freetls.fastly.net/i/u/100s/0698a59a0b874793a11d3f081b14d48a.jpg
108,"@eres.rxbsxn_x, @olesia.astashova",Your City Gave Me Asthma,Wilbur,2021-07-07 13:11:41.727084,https://lastfm.freetls.fastly.net/i/u/100s/0ab261d7da8374c8afb0834228491969.jpg
109,@n.odokaaaa,Berkeley's On Fire,SWMRS,2021-07-07 13:12:03.387306,https://lastfm.freetls.fastly.net/i/u/100s/0b97ec6e4240516bec4f8c78e14d46bb.jpg
110,@jasonhaim,LM5 (Deluxe),Little Mix,2021-07-07 13:12:21.806118,https://lastfm.freetls.fastly.net/i/u/100s/0baa2ad9c4545962c5476d681805ec44.jpg
111,@l.a.mb,The Rise and Fall of Ziggy Stardust and the…,David Bowie,2021-07-07 13:12:48.933459,https://lastfm.freetls.fastly.net/i/u/100s/0c2b90cdffb49817f96f13746eafbe79.jpg
112,@marialaurapanzeri,Higher Truth,Chris Cornell,2021-07-07 13:13:08.504597,https://lastfm.freetls.fastly.net/i/u/100s/0d0303a9284e19953e5507d86c535f1c.jpg
113,@veggyboy,Sublime,Sublime,2021-07-07 13:13:26.927421,https://lastfm.freetls.fastly.net/i/u/100s/0e9c12d7f8a7319ec103b73a87f889d7.jpg
114,@svnnycrys,Three Cheers for Sweet Revenge,My Chemical Romance,2021-07-07 13:13:44.240143,https://lastfm.freetls.fastly.net/i/u/100s/0ea5ae983dba46f1ac8a47532320cdde.jpg
115,@emma_leaskey,CALM,5 Seconds of Summer,2021-07-07 13:14:03.113257,https://lastfm.freetls.fastly.net/i/u/100s/0ee7f0ea17b3a3df65cb86a4fc4e91c9.jpg
116,@roni.pironi,The Invisible Band,Travis,2021-07-07 13:14:25.194791,https://lastfm.freetls.fastly.net/i/u/100s/0fd269ee04864c7d8c78f5294a8fce13.jpg
